Customer;Customer Plant;Vehicle Name;Sub Family;Customer PN;Spare or Original;Engine Nr;Production Date;Inservice Date;Repair Date;Customer Recording Date;Upload Date;KMS;Repair Country;Climate;Technical Factor;Total Warranty Cost €;Labor cost €;Material cost €;MIS;KM/Year
Make A;Site PR;MD CC;Alternators NRG NRG12;9188098093;Original;5EC;2021-12-08;2021-12-27;2023-02-23;2023-02-24;2023-03-28;8207;BR;Tropical;1;163,8113641;;;14;7082
Make A;Site BA;MD 3R;Alternators TG TG12;4488098073;Original;5EC;2021-06-24;2021-09-15;2023-07-24;2023-07-28;2023-08-22;18008;AR;Temperate;1;163,8113641;;;23;9709
Make A;Site BA;MD PU;Alternators TG TG12;4258098073;Original;5EC;2022-05-10;2022-05-30;2023-07-03;2023-07-11;2023-08-22;17699;AR;Temperate;1;163,8113641;;;14;16191
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2022-10-14;2023-03-09;2023-08-02;2023-09-02;2023-10-20;7129;UY;Temperate;1;163,8113641;;;5;17823
Make A;Site PR;MD CC;Alternators NRG NRG12;9188098093;Original;5EC;2021-08-27;2022-01-31;2023-04-05;2023-04-13;2023-04-24;17463;BR;Tropical;1;163,8113641;;;15;14858
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2022-02-24;2022-04-01;2023-09-26;2023-10-20;2023-11-23;21110;AR;Temperate;1;163,8113641;;;18;14190
Make A;Site BA;MD BU;Alternators TG TG12;4258098073;Original;5EC;2022-05-31;2022-09-23;2023-04-05;2023-04-19;2023-05-23;2898;AR;Temperate;1;163,8113641;;;7;5452
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2021-11-09;2022-02-19;2023-07-10;2023-07-13;2023-08-22;13434;BR;Tropical;1;163,8113641;;;17;9691
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2022-02-15;2022-05-13;2023-06-27;2023-07-03;2023-07-11;2723;BR;Tropical;1;163,8113641;;;14;2424
Make A;Site PR;MD CC;Alternators NRG NRG12;3708098442;Original;5EC;2022-03-08;2022-06-30;2023-03-07;2023-03-09;2023-03-28;16169;BR;Tropical;1;163,8113641;;;9;23607
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2021-12-23;2022-02-18;2023-08-24;2023-08-29;2023-09-21;49108;AR;Temperate;1;163,8113641;;;19;32472
Make A;Site PR;MD CV;Alternators NRG NRG12;9188098093;Original;5EC;2023-05-30;2023-06-23;2024-01-03;2024-01-04;2024-01-24;1076;BR;Tropical;1;195,13;;;7;2024
Make A;Site PR;MD CV;Alternators NRG NRG12;9188098093;Original;5EC;2022-10-10;2023-05-31;2023-06-13;2023-06-13;2023-07-11;8751;BO;Dry;1;163,8113641;;;1;245701
Make A;Site PR;MD AT;Alternators NRG NRG12;3708098442;Original;5EC;2022-05-04;2022-10-25;2023-06-21;2023-07-19;2023-08-22;9694;CO;Tropical;1;163,8113641;;;8;14805
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2022-10-18;2023-01-24;2023-03-09;2023-03-16;2023-03-28;2446;BR;Tropical;1;163,8113641;;;2;20291
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2022-07-07;2022-09-20;2023-07-24;2023-07-28;2023-08-22;8380;BR;Tropical;1;163,8113641;;;11;9963
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2021-08-04;2021-10-09;2023-02-02;2023-02-27;2023-03-28;15044;BR;Tropical;1;163,8113641;;;16;11416
Make A;Site BA;MD BU;Alternators TG TG12;4258098073;Original;5EC;2022-05-11;2022-06-16;2023-03-02;2023-03-10;2023-03-28;19694;UY;Temperate;1;163,8113641;;;9;27754
